X,Y,OBJECTID,ROUTE,RUN,ROUTE_NAME_BASED_ON_ORIGIN,ORIGIN,TIME_OF_DAY,ROUTE_TYPE,ESTIMATED_TIME,STOP_ID,STOP_SEQUENCE_ON_ROUTE,STOP_NAME,STREET_ADDRESS,CITY,STATE,LAT,LONG_,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
-77.030472232353645,38.89866515751887,57,11,1,Bethany Evening 2,Bethany ,Evening,Women's,1899-12-30T16:06:00.000Z,7,2,Church of the Epiphany,1317 G St. NW,Washington ,DC,0,-77.03042,1317 G STREET NW,397356.87,136756.7,38.89865771,-77.03046994,Ward 2,005800,20005,279048,,100,DC Address,0
-77.023967291319153,38.898454346188423,58,11,1,Bethany Evening 2,Bethany ,Evening,Women's,1899-12-30T16:09:00.000Z,15,3,National Portrait Gallery,9th & G St. NW,Washington ,DC,0,-77.023902,G STREET NW AND 9TH STREET NW,397921.13794802,136733.12998032,38.89844689,-77.023965,,,,903077,Street Type 1: MissingDirection: Missing,75,DC Intersection,0
-77.009066674905384,38.897477108951122,59,11,1,Bethany Evening 2,Bethany ,Evening,Women's,1899-12-30T16:17:00.000Z,18,4,North Capitol & Massachusetts,North Capitol & Massachusetts NE,Washington ,DC,0,-77.00886,NORTH CAPITOL STREET AND MASSACHUSETTS AVENUE NE,399213.69161322,136624.41538822,38.89746965,-77.00906439,,,,901010,Street Type 1: MissingStreet Type 2: MissingDirection: Missing,62,DC Intersection,0
-76.975576443652699,38.885227257488928,60,11,1,Bethany Evening 2,Bethany ,Evening,Women's,1899-12-30T16:30:00.000Z,11,5,Harriet Tubman Shelter,1900 Massachusetts Ave SE,Washington ,DC,0,-76.973798,1900 MASSACHUSETTS AVENUE SE,402119.23,135264.83,38.88521981,-76.97557417,Ward 7,006804,20003,301068,,100,DC Address,0
-77.031427907343996,38.907573537583936,61,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T18:30:00.000Z,5,1,Bethany Women's Center,1333 N St. NW,Washington ,DC,0,-77.031419,1333 N STREET NW,397274.31,137745.63,38.90756608,-77.03142561,Ward 2,005002,20005,298405,,100,DC Address,0
-77.030472232353645,38.89866515751887,62,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T18:36:00.000Z,7,2,Church of the Epiphany,1317 G St. NW,Washington ,DC,0,-77.03042,1317 G STREET NW,397356.87,136756.7,38.89865771,-77.03046994,Ward 2,005800,20005,279048,,100,DC Address,0
-77.023967291319153,38.898454346188423,63,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T18:39:00.000Z,15,3,National Portrait Gallery,9th & G St. NW,Washington ,DC,0,-77.023902,G STREET NW AND 9TH STREET NW,397921.13794802,136733.12998032,38.89844689,-77.023965,,,,903077,Street Type 1: MissingDirection: Missing,75,DC Intersection,0
-77.019171350350149,38.900368427574996,64,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T18:45:00.000Z,20,4,Pat Handy Women's Shelter,810 5th St. NW,Washington ,DC,0,-77.019219,810 5TH STREET NW,398337.21,136945.51,38.90036097,-77.01916906,Ward 2,005800,20001,218764,,100,DC Address,0
-77.009066674905384,38.897477108951122,65,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T18:52:00.000Z,18,5,North Capitol & Massachusetts,North Capitol & Massachusetts NE,Washington ,DC,0,-77.00886,NORTH CAPITOL STREET AND MASSACHUSETTS AVENUE NE,399213.69161322,136624.41538822,38.89746965,-77.00906439,,,,901010,Street Type 1: MissingStreet Type 2: MissingDirection: Missing,62,DC Intersection,0
-76.993019105580359,38.898553076310492,66,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T18:58:00.000Z,23,6,Sherwood Recreation Center,640 19th St. NE,Washington ,DC,0,-76.993164,640 10TH STREET NE,400605.76,136743.84,38.89854562,-76.99301682,Ward 6,008402,20002,301075,Address Number/Street Name: Not ValidFull Address: Valid Not Verified,100,DC Address,0
-76.987676501132725,38.864344986689844,67,12,1,Bethany Evening 3,Bethany ,Evening,Women's,1899-12-30T19:02:00.000Z,17,7,New Covenant Baptist Church,1301 W St. SE,Washington ,DC,0,-76.987642,1301 W STREET SE,401069.72,132946.53,38.86433754,-76.98767422,Ward 8,007503,20020,68836,,100,DC Address,0
