X,Y,OBJECTID,OWNER_RENTER,FACILITY_NAME,PROVIDER,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE,WARD,TYPE,SUBTYPE,STATUS,NUMBER_OF_BEDS,ON_SITE_MEDICAL_CLINIC,DGS_CONFIRMED,DHS_CONFIRMED,URL,ALREADY_PUBLIC_INFORMATION,LAST_UPDATED_BY_DHS,PUBLISH_TO_ODP,MARID,AGES_SERVED,HOW_TO_ACCESS,LGBTQ_FOCUSED,XCOORD,YCOORD
-76.99473085268373,38.850692076766521,1,DHS,801 East - Shelter,Catholic Charities,"2700 Martin Luther King Jr. Ave, SE ",Washington,DC,20032,38.85068463,-76.99472857,Ward 8,Low Barrier/Transitional,Men,Active,450,Yes,Yes,Yes,https://www.catholiccharitiesdc.org/housing-shelter/801east/,Yes,2017-11-15T00:00:00.000Z,Yes,301562,18+,Show Up and/or Call Shelter Hotline (311),,400457.58,131430.9
-76.97487854623607,38.919629752981223,2,DHS,Adams Place Shelter,Catholic Charities,"2210 Adams Place, NE",Washington,DC,20018,38.91962229,-76.97487627,Ward 5,Low Barrier,Men,Active,150,,Yes,Yes,https://www.catholiccharitiesdc.org/housing-shelter/adamsplace/,Yes,2017-11-15T00:00:00.000Z,Yes,50358,18+,Show Up and/or Call Shelter Hotline (311),,402178.73,139083.8
-76.99702162404688,38.901069642301351,3,DHS,Blair House ,Coalition for the Homeless,"635 Eye Street, NE",Washington,DC,20002,38.90106219,-76.99701934,Ward 6,Transitional,Men,Active,85,,,Yes,http://www.dccfh.org/programs/housing/blair-transitional-rehabilitation-program,Yes,2017-11-15T00:00:00.000Z,Yes,2520,18+,Coordinated Assessment & Housing Placement (CAHP) Process,,400258.55,137023.18
-77.013299219786091,38.895511573694989,4,DHS,Center for Creative Non-Violence (CCNV),New Hope Ministries,"425 2nd St, NW",Washington,DC,20001,38.89550412,-77.01329693,Ward 6,Low Barrier/Transitional,Men & Women,Active,964,Yes,Yes,Yes,http://www.theccnv.org/about.htm,Yes,2017-11-15T00:00:00.000Z,Yes,299726,18+,Show Up and/or Call Shelter Hotline (311),,398846.5,136406.27
-77.007906139110986,38.913605700430033,5,DHS,Emery Work Bed Program,Coalition for the Homeless,1725 Lincoln Road NE,Washington,DC,20002,38.91359824,-77.00790385,Ward 5,Transitional,Men,Active,100,,Yes,Yes,http://www.dccfh.org/programs/housing/emery-work-bed-program-ewbp,Yes,2017-11-15T00:00:00.000Z,Yes,155923,18+,Coordinated Assessment & Housing Placement (CAHP) Process,,399314.52,138414.81
-76.975576443652699,38.885227257488928,6,DHS,Harriet Tubman Shelter & Day Center,Catholic Charities,"1900 Massachusetts Ave SE, Bldg. 27 ",Washington,DC,20003,38.88521981,-76.97557417,Ward 7,Low Barrier/Transitional,Women,Active,100,,Yes,Yes,https://www.catholiccharitiesdc.org/harriettubman/,Yes,2017-11-15T00:00:00.000Z,Yes,301068,18+,Show Up and/or Call Shelter Hotline (311),,402119.23,135264.83
-77.029160664624754,38.936379684529193,7,DHS,La Casa TRP,Coalition for the Homeless,1131 Spring Road NW,Washington,DC,20010,38.93637222,-77.02915837,Ward 4,Transitional,Men,Active,40,,Yes,Yes,http://www.dccfh.org/programs/housing/la-casa-transitional-rehabilitation-program-trp,Yes,2017-11-15T00:00:00.000Z,Yes,230119,18+,Coordinated Assessment & Housing Placement (CAHP) Process,,397471.98,140943.29
-77.017725228921933,38.914680218783381,8,Coalition for the Homeless,Mickey Leland House,Coalition for the Homeless,455/457 Florida Avenue NW,Washington,DC,20001,38.91467276,-77.01772294,Ward 1,Transitional,Men,Active,22,,,Yes,http://www.dccfh.org/programs/housing/mickey-leland-house,Yes,2017-11-15T00:00:00.000Z,Yes,218238,18+,Coordinated Assessment & Housing Placement (CAHP) Process,,398462.96,138534.21
-77.028304820744509,38.963358873102869,9,Catholic Charities,Nativity Shelter for Women,Catholic Charities,"6010 Georgia Ave., NW",Washington,DC,20011,38.96335141,-77.02830252,Ward 4,Low Barrier,Women,Active,25,,,Yes,https://www.catholiccharitiesdc.org/nativity/,Yes,2017-11-15T00:00:00.000Z,Yes,308177,18+,Show Up and/or Call Shelter Hotline (311),,397547.11,143938.2
-77.020561632683368,38.907479295820323,10,DHS,New Endeavors by Women,New Endeavors by Women,611 N St. NW,Washington,DC,20001,38.90747184,-77.02055934,Ward 6,Transitional/Permanent,Women,Active,15,No,,Yes,http://nebw.org/,Yes,2017-11-15T00:00:00.000Z,Yes,279854,18+,Coordinated Assessment & Housing Placement (CAHP) Process,,398216.79,137734.9
